id,created_at,closed_at,status,project_code,project_name,station_name,voltage_level,camera_location,fault_type_code,fault_type,description,source_type,source_record_key
333,2025-06-09,2025-06-09,closed,unified,统一平台,110kV港头变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,场地3、6号立杆摄像机配合电建改造拆除,import_worklog,unified:import_worklog:5772a1237739edb57411ff1bf9ac21b5598c9f1cf15047c4dfacd6ac4770c387
336,2025-06-25,2025-06-25,closed,unified,统一平台,110kV官桥变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,#2主变东侧7#摄像机网线故障，重新放线后正常,import_worklog,unified:import_worklog:91e0e5b7440ca378e5f414e86abb2a7325cababdcc047cc8aeae0155094f4567
348,2025-08-06,2025-08-06,closed,inspection,智慧巡视,110kV张村变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,智能巡视设备现场调试接入,import_worklog,inspection:import_worklog:75c0b3bf34b5fd2cb6f4f7bd1c2ead3122f7ed107d978afa803f3044b16df55e
349,2025-08-07,2025-08-07,closed,inspection,智慧巡视,110kV碧湖变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,智能巡视设备现场调试接入,import_worklog,inspection:import_worklog:4be1990cf70d4ae43198b2b04c0e9c3a9a94e4df11363d36ea0d47813229be1c
350,2025-08-08,2025-08-08,closed,inspection,智慧巡视,110kV四都变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,智能巡视设备现场调试接入,import_worklog,inspection:import_worklog:93ff858e45562bccb7b6d1fb932996b056ee275c3d6d186cb8d2d6cbeee7ff97
361,2025-09-09,2025-09-09,closed,inspection,智慧巡视,220kV枫树变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,智巡系统接入、调试,import_worklog,inspection:import_worklog:b646313591f04ade182226da1dc3afd7d32eb8156ef5267436182810f2a3665d
408,2026-04-08,2026-04-08,closed,unified,统一平台,110kV东山变,110kV,110kV场地东南侧,INSTALLATION_DEBUG,施工/调试/接入,110kV场地东南侧摄像机集中电源接口故障，换接口后恢复正常 | 地点: 缙云,import_worklog,unified:import_worklog:301e86c74ca517e981356e447ee6494710d90a3ed470b4ad0e7e5c58d79c79fb
108,2023-06-26,2023-06-26,closed,unified,统一平台,220kV仙都变,220kV,,SITE_SURVEY_ACCEPTANCE,验收/勘察,图像监控系统网络优化提升现场勘察,import_worklog,unified:import_worklog:dc9f57284e9a3611588346ff91615959e3923039134d687d27ca80715d9b2ca5
148,2023-09-01,2023-09-01,closed,unified,统一平台,110kV温溪变,110kV,,SITE_SURVEY_ACCEPTANCE,验收/勘察,现场勘察,import_worklog,unified:import_worklog:b0916a308fcd4fad2cc4ce372ed0e16a14cbbc86b131dc5d219237520da698f7
221,2024-04-27,2024-04-27,closed,unified,统一平台,220kV仙都变,220kV,,SITE_SURVEY_ACCEPTANCE,验收/勘察,市公司上传故障现场勘察,import_worklog,unified:import_worklog:ae035cc23e0f784464afa3ef48b9c4e10e1d69f7c42bf0eba05625887a098a3f
236,2024-06-18,2024-06-18,closed,unified,统一平台,220kV河阳变,220kV,,SITE_SURVEY_ACCEPTANCE,验收/勘察,全站离线现场勘察,import_worklog,unified:import_worklog:8bedcc1b3ea0651c4d1cd23dec2dba4e83f5e735eb64b1ffb1f30551132e3040
280,2024-10-28,2024-10-28,closed,unified,统一平台,110kV椤林变,110kV,,SITE_SURVEY_ACCEPTANCE,验收/勘察,图像监控验收,import_worklog,unified:import_worklog:ed4d805bd6ba4943acc4055d8a003b62f376fb22b87e0a1ef205a7b05d59d9f1
292,2024-11-26,2024-11-26,closed,unified,统一平台,220kV汤公变,220kV,,SITE_SURVEY_ACCEPTANCE,验收/勘察,图像监控验收,import_worklog,unified:import_worklog:2fbb0faf2e91ac2ab0e3259ea8dcae61233afae69e7510c7acfbfe943fd9477d
371,2025-11-17,2025-11-17,closed,unified,统一平台,220kV仙宫变,220kV,,SITE_SURVEY_ACCEPTANCE,验收/勘察,1-2#电容器室东侧32#摄像机故障现场勘查,import_worklog,unified:import_worklog:10dd0caf1b70919012b8d19451b097199936863984028e7c6b1452e2f2f9a355
382,2025-12-10,2025-12-10,closed,unified,统一平台,220kV仙都变,220kV,,SITE_SURVEY_ACCEPTANCE,验收/勘察,现场勘察,import_worklog,unified:import_worklog:7feee46ec40584aff646d74e9e454bb6b981d6920b6b63ef0fdf645b3e345739
